"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.131446174E2,6.223859526E1,2.571832371E1,1.141626084E2,1.230000019E0,3.140000000E2,3.790092468E0,2.721442699E0
1.141446318E2,6.223860144E1,2.571829784E1,1.142046636E2,1.230000019E0,3.087000122E2,3.790092468E0,2.803416491E0
1.151445002E2,6.223860811E1,2.571827151E1,1.143086087E2,1.220000029E0,3.142999878E2,3.790092468E0,2.814476252E0
1.161453484E2,6.223861461E1,2.571824484E1,1.142827319E2,1.279999971E0,3.138999939E2,3.790092468E0,2.874465466E0
1.171451960E2,6.223862227E1,2.571822043E1,1.139936113E2,1.250000000E0,3.168999939E2,3.790092468E0,2.958890200E0
1.181452237E2,6.223863016E1,2.571819784E1,1.144425892E2,1.259999990E0,3.163999939E2,3.790092468E0,3.134528160E0
1.191446269E2,6.223863659E1,2.571817192E1,1.137562510E2,1.309999943E0,3.133999939E2,3.790092468E0,3.197024822E0
1.201448180E2,6.223864475E1,2.571815111E1,1.138916305E2,1.299999952E0,3.221000061E2,3.790092468E0,3.205015659E0
1.211449775E2,6.223865453E1,2.571813128E1,1.139919158E2,1.309999943E0,3.272000122E2,3.790092468E0,3.306628466E0
1.221453077E2,6.223866378E1,2.571810764E1,1.138274911E2,1.429999948E0,3.167999878E2,3.790092468E0,3.307541609E0
1.231444560E2,6.223867332E1,2.571808348E1,1.134206959E2,1.429999948E0,3.152000122E2,3.790092468E0,3.214612246E0
1.241445299E2,6.223868183E1,2.571805885E1,1.132755578E2,1.509999990E0,3.127999878E2,3.790092468E0,3.080780745E0
1.251454225E2,6.223869151E1,2.571803600E1,1.131784552E2,1.470000029E0,3.130000000E2,3.790092468E0,3.087218046E0
1.261452956E2,6.223870056E1,2.571801413E1,1.131066208E2,1.419999957E0,3.147000122E2,3.790092468E0,2.968018293E0
1.271444569E2,6.223870892E1,2.571799140E1,1.128790852E2,1.389999986E0,3.115000000E2,3.790092468E0,2.964277029E0
1.281447696E2,6.223871714E1,2.571796743E1,1.130029289E2,1.450000048E0,3.086000061E2,3.790092468E0,2.872530222E0
1.291447928E2,6.223872686E1,2.571794387E1,1.132439000E2,1.500000000E0,3.133999939E2,3.790092468E0,2.781168222E0
1.301444790E2,6.223873576E1,2.571792140E1,1.132762525E2,1.389999986E0,3.120000000E2,3.790092468E0,2.872856379E0
1.311445693E2,6.223874303E1,2.571789749E1,1.133144633E2,1.419999957E0,3.052999878E2,3.790092468E0,3.002022266E0
1.321446038E2,6.223875092E1,2.571787319E1,1.132331066E2,1.409999967E0,3.085000000E2,3.790092468E0,3.067325592E0
1.331454038E2,6.223875896E1,2.571785215E1,1.131805587E2,1.370000005E0,3.147999878E2,3.790092468E0,2.941268444E0
1.341446156E2,6.223876710E1,2.571782908E1,1.132635699E2,1.440000057E0,3.116000061E2,3.790092468E0,2.897217274E0
1.351446192E2,6.223877582E1,2.571780578E1,1.133401727E2,1.450000048E0,3.141000061E2,3.790092468E0,2.544761896E0
1.361446354E2,6.223878559E1,2.571778438E1,1.131473671E2,1.470000029E0,3.163999939E2,3.790092468E0,2.500000000E0
1.371444871E2,6.223879507E1,2.571776209E1,1.132187825E2,1.519999981E0,3.128999939E2,3.790092468E0,2.500000000E0
1.381452135E2,6.223880524E1,2.571774020E1,1.130720587E2,1.480000019E0,3.155000000E2,3.790092468E0,2.500000000E0
1.391453686E2,6.223881546E1,2.571771778E1,1.129227713E2,1.549999952E0,3.143999939E2,3.790092468E0,2.500000000E0
1.401444523E2,6.223882629E1,2.571769655E1,1.127721417E2,1.539999962E0,3.185000000E2,3.790092468E0,2.500000000E0
1.411452755E2,6.223883719E1,2.571767519E1,1.126375643E2,1.559999943E0,3.182999878E2,3.790092468E0,2.500000000E0
1.421452970E2,6.223884900E1,2.571765438E1,1.126427581E2,1.639999986E0,3.235000000E2,3.790092468E0,2.500000000E0
1.431450746E2,6.223886330E1,2.571763783E1,1.128783613E2,1.539999962E0,3.273999939E2,3.790092468E0,2.500000000E0
1.441450266E2,6.223887584E1,2.571762402E1,1.128436390E2,1.450000048E0,3.237000122E2,3.790092468E0,2.500000000E0
1.451452674E2,6.223888912E1,2.571761395E1,1.126040834E2,1.460000038E0,3.296000061E2,3.790092468E0,2.500000000E0
1.461453845E2,6.223890312E1,2.571760528E1,1.125136372E2,1.620000005E0,3.343999939E2,3.790092468E0,2.500000000E0
1.471447628E2,6.223891655E1,2.571759680E1,1.125180394E2,1.529999971E0,3.391000061E2,3.790092468E0,2.500000000E0
1.481447501E2,6.223892846E1,2.571758506E1,1.122822060E2,1.500000000E0,3.343999939E2,3.790092468E0,2.500000000E0
1.491445746E2,6.223894079E1,2.571757071E1,1.121429302E2,1.570000052E0,3.315000000E2,3.790092468E0,2.500000000E0
1.501445832E2,6.223895405E1,2.571755548E1,1.119236990E2,1.639999986E0,3.327999878E2,3.790092468E0,2.500000000E0
1.511444311E2,6.223896659E1,2.571754135E1,1.117132564E2,1.629999995E0,3.336000061E2,3.790092468E0,2.500000000E0
1.521446025E2,6.223897955E1,2.571752778E1,1.115511540E2,1.549999952E0,3.367000122E2,3.790092468E0,2.500000000E0
1.531452016E2,6.223899132E1,2.571751370E1,1.115068487E2,1.549999952E0,3.323999939E2,3.790092468E0,2.500000000E0
1.541453693E2,6.223900502E1,2.571750255E1,1.115114949E2,1.649999976E0,3.417000122E2,3.790092468E0,2.500000000E0
1.551453760E2,6.223901996E1,2.571749767E1,1.111694016E2,1.659999967E0,3.496000061E2,3.790092468E0,2.500000000E0
1.561445507E2,6.223903583E1,2.571750291E1,1.110998316E2,1.710000038E0,6.699999809E0,3.790092468E0,2.500000000E0
1.571446475E2,6.223904983E1,2.571751342E1,1.106378657E2,1.490000010E0,1.450000000E1,3.790092468E0,2.500000000E0
1.581444462E2,6.223906257E1,2.571752655E1,1.101109579E2,1.440000057E0,2.339999962E1,3.790092468E0,2.500000000E0
1.591453909E2,6.223907463E1,2.571754356E1,1.098063399E2,1.440000057E0,2.439999962E1,3.790092468E0,2.500000000E0
1.601452051E2,6.223908811E1,2.571756052E1,1.094793229E2,1.580000043E0,2.400000000E1,3.790092468E0,2.500000000E0
1.611451913E2,6.223910337E1,2.571757495E1,1.091735471E2,1.580000043E0,2.010000038E1,3.790092468E0,2.500000000E0
1.621444392E2,6.223911901E1,2.571758994E1,1.090269512E2,1.629999995E0,2.200000000E1,3.790092468E0,2.500000000E0
1.631444352E2,6.223913247E1,2.571760339E1,1.084949779E2,1.500000000E0,2.050000000E1,3.790092468E0,2.500000000E0
1.641454112E2,6.223914635E1,2.571761603E1,1.082297284E2,1.559999943E0,1.989999962E1,3.790092468E0,2.500000000E0
1.651450375E2,6.223915857E1,2.571763091E1,1.078717046E2,1.529999971E0,2.139999962E1,3.790092468E0,2.500000000E0
1.661447587E2,6.223917260E1,2.571764763E1,1.080670878E2,1.590000033E0,2.639999962E1,3.790092468E0,2.500000000E0
1.671453638E2,6.223918689E1,2.571766553E1,1.079774371E2,1.649999976E0,2.789999962E1,3.790092468E0,2.500000000E0
1.681444382E2,6.223919982E1,2.571768723E1,1.081053151E2,1.649999976E0,3.540000153E1,3.790092468E0,2.500000000E0
1.691453956E2,6.223921247E1,2.571770924E1,1.081367575E2,1.610000014E0,3.900000000E1,3.790092468E0,2.500000000E0
1.701447904E2,6.223922547E1,2.571772919E1,1.082318595E2,1.639999986E0,3.320000076E1,3.790092468E0,2.500000000E0
1.711453212E2,6.223923817E1,2.571774592E1,1.082316243E2,1.539999962E0,2.950000000E1,3.790092468E0,2.500000000E0
